Reactions,Subsystems
GTHS,Cofactor and Prosthetic Group Biosynthesis
GTPCI,Cofactor and Prosthetic Group Biosynthesis
GTPCII2,Cofactor and Prosthetic Group Biosynthesis
GTPDPDP,Cofactor and Prosthetic Group Biosynthesis
GTPDPK,Cofactor and Prosthetic Group Biosynthesis
HBZOPT,Cofactor and Prosthetic Group Biosynthesis
HEMEOS,Cofactor and Prosthetic Group Biosynthesis
HETZK,Cofactor and Prosthetic Group Biosynthesis
HMBS,Cofactor and Prosthetic Group Biosynthesis
HMPK1,Cofactor and Prosthetic Group Biosynthesis
HPPK2,Cofactor and Prosthetic Group Biosynthesis
HYPOE,Cofactor and Prosthetic Group Biosynthesis
I2FE2SR,Cofactor and Prosthetic Group Biosynthesis
I2FE2SS,Cofactor and Prosthetic Group Biosynthesis
I2FE2SS2,Cofactor and Prosthetic Group Biosynthesis
I2FE2ST,Cofactor and Prosthetic Group Biosynthesis
I4FE4SR,Cofactor and Prosthetic Group Biosynthesis
I4FE4ST,Cofactor and Prosthetic Group Biosynthesis
ICHORS,Cofactor and Prosthetic Group Biosynthesis
ICHORSi,Cofactor and Prosthetic Group Biosynthesis
ICHORT,Cofactor and Prosthetic Group Biosynthesis
ICYSDS,Cofactor and Prosthetic Group Biosynthesis
IPDDI,Cofactor and Prosthetic Group Biosynthesis
IPDPS,Cofactor and Prosthetic Group Biosynthesis
LIPAMPL,Cofactor and Prosthetic Group Biosynthesis
LIPATPT,Cofactor and Prosthetic Group Biosynthesis
LIPOCT,Cofactor and Prosthetic Group Biosynthesis
LIPOS,Cofactor and Prosthetic Group Biosynthesis
MALCOAMT,Cofactor and Prosthetic Group Biosynthesis
MECDPDH5,Cofactor and Prosthetic Group Biosynthesis
MECDPS,Cofactor and Prosthetic Group Biosynthesis
MEPCT,Cofactor and Prosthetic Group Biosynthesis
MOADSUx,Cofactor and Prosthetic Group Biosynthesis
MOCDS,Cofactor and Prosthetic Group Biosynthesis
MOCOS,Cofactor and Prosthetic Group Biosynthesis
MOGDS,Cofactor and Prosthetic Group Biosynthesis
MOHMT,Cofactor and Prosthetic Group Biosynthesis
MPTAT,Cofactor and Prosthetic Group Biosynthesis
MPTS,Cofactor and Prosthetic Group Biosynthesis
MPTSS,Cofactor and Prosthetic Group Biosynthesis
NADDP,Cofactor and Prosthetic Group Biosynthesis
NADK,Cofactor and Prosthetic Group Biosynthesis
NADN,Cofactor and Prosthetic Group Biosynthesis
NADPPPS,Cofactor and Prosthetic Group Biosynthesis
NADS1,Cofactor and Prosthetic Group Biosynthesis
NAMNPP,Cofactor and Prosthetic Group Biosynthesis
NMNAT,Cofactor and Prosthetic Group Biosynthesis
NMNDA,Cofactor and Prosthetic Group Biosynthesis
NMNN,Cofactor and Prosthetic Group Biosynthesis
NNAM,Cofactor and Prosthetic Group Biosynthesis
NNDMBRT,Cofactor and Prosthetic Group Biosynthesis
NNDPR,Cofactor and Prosthetic Group Biosynthesis
OCTDPS,Cofactor and Prosthetic Group Biosynthesis
OCTNLL,Cofactor and Prosthetic Group Biosynthesis
OGMEACPD,Cofactor and Prosthetic Group Biosynthesis
OGMEACPR,Cofactor and Prosthetic Group Biosynthesis
OGMEACPS,Cofactor and Prosthetic Group Biosynthesis
OHPBAT,Cofactor and Prosthetic Group Biosynthesis
OHPHM,Cofactor and Prosthetic Group Biosynthesis
OMBZLM,Cofactor and Prosthetic Group Biosynthesis
OMMBLHX,Cofactor and Prosthetic Group Biosynthesis
OMMBLHX3,Cofactor and Prosthetic Group Biosynthesis
OMPHHX,Cofactor and Prosthetic Group Biosynthesis
OMPHHX3,Cofactor and Prosthetic Group Biosynthesis
OPHBDC,Cofactor and Prosthetic Group Biosynthesis
OPHHX,Cofactor and Prosthetic Group Biosynthesis
OPHHX3,Cofactor and Prosthetic Group Biosynthesis
OPMEACPD,Cofactor and Prosthetic Group Biosynthesis
OPMEACPR,Cofactor and Prosthetic Group Biosynthesis
OPMEACPS,Cofactor and Prosthetic Group Biosynthesis
PANTS,Cofactor and Prosthetic Group Biosynthesis
PDX5PO2,Cofactor and Prosthetic Group Biosynthesis
PDX5POi,Cofactor and Prosthetic Group Biosynthesis
PDX5PS,Cofactor and Prosthetic Group Biosynthesis
PDXPP,Cofactor and Prosthetic Group Biosynthesis
PERD,Cofactor and Prosthetic Group Biosynthesis
PMDPHT,Cofactor and Prosthetic Group Biosynthesis
PMEACPE,Cofactor and Prosthetic Group Biosynthesis
PMPK,Cofactor and Prosthetic Group Biosynthesis
PNTK,Cofactor and Prosthetic Group Biosynthesis
PPBNGS,Cofactor and Prosthetic Group Biosynthesis
PPCDC,Cofactor and Prosthetic Group Biosynthesis
PPGPPDP,Cofactor and Prosthetic Group Biosynthesis
PPNCL2,Cofactor and Prosthetic Group Biosynthesis
PPPGO,Cofactor and Prosthetic Group Biosynthesis
PPPGO3,Cofactor and Prosthetic Group Biosynthesis
PTPATi,Cofactor and Prosthetic Group Biosynthesis
PYAM5PO,Cofactor and Prosthetic Group Biosynthesis
PYDAMK,Cofactor and Prosthetic Group Biosynthesis
PYDXK,Cofactor and Prosthetic Group Biosynthesis
PYDXNK,Cofactor and Prosthetic Group Biosynthesis
PYDXPP,Cofactor and Prosthetic Group Biosynthesis
QULNS,Cofactor and Prosthetic Group Biosynthesis
RBFK,Cofactor and Prosthetic Group Biosynthesis
RBFSa,Cofactor and Prosthetic Group Biosynthesis
RBFSb,Cofactor and Prosthetic Group Biosynthesis
RZ5PP,Cofactor and Prosthetic Group Biosynthesis
S2FE2SR,Cofactor and Prosthetic Group Biosynthesis
S2FE2SS,Cofactor and Prosthetic Group Biosynthesis
S2FE2SS2,Cofactor and Prosthetic Group Biosynthesis
S2FE2ST,Cofactor and Prosthetic Group Biosynthesis
S4FE4SR,Cofactor and Prosthetic Group Biosynthesis
S4FE4ST,Cofactor and Prosthetic Group Biosynthesis
SCYSDS,Cofactor and Prosthetic Group Biosynthesis
SEPHCHCS,Cofactor and Prosthetic Group Biosynthesis
SERASr,Cofactor and Prosthetic Group Biosynthesis
SFGTHi,Cofactor and Prosthetic Group Biosynthesis
SHCHCS3,Cofactor and Prosthetic Group Biosynthesis
SHCHD2,Cofactor and Prosthetic Group Biosynthesis
SHCHF,Cofactor and Prosthetic Group Biosynthesis
SUCBZL,Cofactor and Prosthetic Group Biosynthesis
SUCBZS,Cofactor and Prosthetic Group Biosynthesis
TDP,Cofactor and Prosthetic Group Biosynthesis
ThDPAT,Cofactor and Prosthetic Group Biosynthesis
THZPSN3,Cofactor and Prosthetic Group Biosynthesis
TMK,Cofactor and Prosthetic Group Biosynthesis
TMPK,Cofactor and Prosthetic Group Biosynthesis
TMPPP,Cofactor and Prosthetic Group Biosynthesis
TPRDCOAS,Cofactor and Prosthetic Group Biosynthesis
TYRL,Cofactor and Prosthetic Group Biosynthesis
UDCPDPS,Cofactor and Prosthetic Group Biosynthesis
UPP3MT,Cofactor and Prosthetic Group Biosynthesis
UPP3S,Cofactor and Prosthetic Group Biosynthesis
UPPDC1,Cofactor and Prosthetic Group Biosynthesis
WCOS,Cofactor and Prosthetic Group Biosynthesis
ADSK,Cysteine Metabolism
AMPTASECG,Cysteine Metabolism
BPNT,Cysteine Metabolism
CYSDDS,Cysteine Metabolism
CYSDS,Cysteine Metabolism
CYSS,Cysteine Metabolism
CYSSADS,Cysteine Metabolism
MCPST,Cysteine Metabolism
PAPSR,Cysteine Metabolism
PAPSR2,Cysteine Metabolism
SADT2,Cysteine Metabolism
SERAT,Cysteine Metabolism
SULRi,Cysteine Metabolism
DM_4CRSOL,Exchange
DM_5DRIB,Exchange
DM_AACALD,Exchange
DM_AMOB,Exchange
DM_MTHTHF,Exchange
DM_OXAM,Exchange
Ec_biomass_iJO1366_core_53p95M,Exchange
Ec_biomass_iJO1366_WT_53p95M,Exchange
EX_12ppd-R(e),Exchange
EX_12ppd-S(e),Exchange
EX_14glucan(e),Exchange
EX_15dap(e),Exchange
EX_23camp(e),Exchange
EX_23ccmp(e),Exchange
EX_23cgmp(e),Exchange
EX_23cump(e),Exchange
EX_23dappa(e),Exchange
EX_26dap-M(e),Exchange
EX_2ddglcn(e),Exchange
EX_34dhpac(e),Exchange
EX_3amp(e),Exchange
EX_3cmp(e),Exchange
EX_3gmp(e),Exchange
EX_3hcinnm(e),Exchange
EX_3hpp(e),Exchange
EX_3hpppn(e),Exchange
EX_3ump(e),Exchange
EX_4abut(e),Exchange
EX_4hoxpacd(e),Exchange
EX_5dglcn(e),Exchange
EX_5mtr(e),Exchange
EX_ac(e),Exchange
EX_acac(e),Exchange
EX_acald(e),Exchange
EX_acgal(e),Exchange
EX_acgal1p(e),Exchange
EX_acgam(e),Exchange
EX_acgam1p(e),Exchange
EX_acmana(e),Exchange
EX_acmum(e),Exchange
EX_acnam(e),Exchange
EX_acolipa(e),Exchange
EX_acser(e),Exchange
EX_ade(e),Exchange
EX_adn(e),Exchange
EX_adocbl(e),Exchange
EX_ag(e),Exchange
EX_agm(e),Exchange
EX_akg(e),Exchange
EX_ala-B(e),Exchange
EX_ala-D(e),Exchange
EX_ala-L(e),Exchange
EX_alaala(e),Exchange
EX_all-D(e),Exchange
EX_alltn(e),Exchange
EX_amp(e),Exchange
EX_anhgm(e),Exchange
EX_arab-L(e),Exchange
EX_arbt(e),Exchange
EX_arbtn-fe3(e),Exchange
EX_arbtn(e),Exchange
EX_arg-L(e),Exchange
EX_ascb-L(e),Exchange
EX_asn-L(e),Exchange
EX_aso3(e),Exchange
EX_asp-L(e),Exchange
EX_btn(e),Exchange
EX_but(e),Exchange
EX_butso3(e),Exchange
EX_ca2(e),Exchange
EX_cbi(e),Exchange
EX_cbl1(e),Exchange
EX_cd2(e),Exchange
EX_cgly(e),Exchange
EX_chol(e),Exchange
EX_chtbs(e),Exchange
EX_cit(e),Exchange
EX_cl(e),Exchange
EX_cm(e),Exchange
EX_cmp(e),Exchange
EX_co2(e),Exchange
EX_cobalt2(e),Exchange
EX_colipa(e),Exchange
EX_colipap(e),Exchange
EX_cpgn-un(e),Exchange
EX_cpgn(e),Exchange
EX_crn-D(e),Exchange
EX_crn(e),Exchange
EX_csn(e),Exchange
EX_cu(e),Exchange
EX_cu2(e),Exchange
EX_cyan(e),Exchange
EX_cynt(e),Exchange
EX_cys-D(e),Exchange
EX_cys-L(e),Exchange
EX_cytd(e),Exchange
EX_dad-2(e),Exchange
EX_damp(e),Exchange
EX_dca(e),Exchange
EX_dcmp(e),Exchange
EX_dcyt(e),Exchange
EX_ddca(e),Exchange
EX_dgmp(e),Exchange
EX_dgsn(e),Exchange
EX_dha(e),Exchange
EX_dimp(e),Exchange
EX_din(e),Exchange
EX_dms(e),Exchange
EX_dmso(e),Exchange
EX_dopa(e),Exchange
EX_doxrbcn(e),Exchange
EX_dtmp(e),Exchange
EX_dump(e),Exchange
EX_duri(e),Exchange
EX_eca4colipa(e),Exchange
EX_enlipa(e),Exchange
EX_enter(e),Exchange
EX_etha(e),Exchange
EX_ethso3(e),Exchange
EX_etoh(e),Exchange
EX_f6p(e),Exchange
EX_fald(e),Exchange
EX_fe2(e),Exchange
EX_fe3(e),Exchange
EX_fe3dcit(e),Exchange
EX_fe3dhbzs(e),Exchange
EX_fe3hox-un(e),Exchange
EX_fe3hox(e),Exchange
EX_fecrm-un(e),Exchange
EX_fecrm(e),Exchange
EX_feenter(e),Exchange
EX_feoxam-un(e),Exchange
EX_feoxam(e),Exchange
EX_for(e),Exchange
EX_fru(e),Exchange
EX_frulys(e),Exchange
EX_fruur(e),Exchange
EX_fuc-L(e),Exchange
EX_fum(e),Exchange
EX_fusa(e),Exchange
EX_g1p(e),Exchange
EX_g3pc(e),Exchange
EX_g3pe(e),Exchange
EX_g3pg(e),Exchange
EX_g3pi(e),Exchange
EX_g3ps(e),Exchange
EX_g6p(e),Exchange
EX_gal-bD(e),Exchange
EX_gal(e),Exchange
EX_gal1p(e),Exchange
EX_galct-D(e),Exchange
EX_galctn-D(e),Exchange
EX_galctn-L(e),Exchange
EX_galt(e),Exchange
EX_galur(e),Exchange
EX_gam(e),Exchange
EX_gam6p(e),Exchange
EX_gbbtn(e),Exchange
EX_gdp(e),Exchange
EX_glc(e),Exchange
EX_glcn(e),Exchange
EX_glcr(e),Exchange
EX_glcur(e),Exchange
EX_glcur1p(e),Exchange
EX_gln-L(e),Exchange
EX_glu-L(e),Exchange
EX_gly(e),Exchange
EX_glyald(e),Exchange
EX_glyb(e),Exchange
EX_glyc-R(e),Exchange
EX_glyc(e),Exchange
EX_glyc2p(e),Exchange
EX_glyc3p(e),Exchange
EX_glyclt(e),Exchange
EX_gmp(e),Exchange
EX_gsn(e),Exchange
EX_gthox(e),Exchange
EX_gthrd(e),Exchange
EX_gtp(e),Exchange
EX_gua(e),Exchange
EX_h(e),Exchange
EX_h2(e),Exchange
EX_h2o(e),Exchange
EX_h2o2(e),Exchange
EX_h2s(e),Exchange
EX_hacolipa(e),Exchange
EX_halipa(e),Exchange
EX_hdca(e),Exchange
EX_hdcea(e),Exchange
EX_hg2(e),Exchange
EX_his-L(e),Exchange
EX_hom-L(e),Exchange
EX_hxa(e),Exchange
EX_hxan(e),Exchange
EX_idon-L(e),Exchange
EX_ile-L(e),Exchange
EX_imp(e),Exchange
EX_indole(e),Exchange
EX_inost(e),Exchange
EX_ins(e),Exchange
EX_isetac(e),Exchange
EX_k(e),Exchange
EX_kdo2lipid4(e),Exchange
EX_lac-D(e),Exchange
EX_lac-L(e),Exchange
EX_LalaDglu(e),Exchange
EX_LalaDgluMdap(e),Exchange
EX_LalaDgluMdapDala(e),Exchange
EX_LalaLglu(e),Exchange
EX_lcts(e),Exchange
EX_leu-L(e),Exchange
EX_lipa_cold(e),Exchange
EX_lipa(e),Exchange
EX_lipoate(e),Exchange
EX_lys-L(e),Exchange
EX_lyx-L(e),Exchange
EX_mal-D(e),Exchange
EX_mal-L(e),Exchange
EX_malt(e),Exchange
EX_malthx(e),Exchange
EX_maltpt(e),Exchange
EX_malttr(e),Exchange
EX_maltttr(e),Exchange
EX_man(e),Exchange
EX_man6p(e),Exchange
EX_manglyc(e),Exchange
EX_melib(e),Exchange
EX_meoh(e),Exchange
EX_met-D(e),Exchange
EX_met-L(e),Exchange
EX_metsox-R-L(e),Exchange
EX_metsox-S-L(e),Exchange
EX_mg2(e),Exchange
EX_mincyc(e),Exchange
EX_minohp(e),Exchange
EX_mmet(e),Exchange
EX_mn2(e),Exchange
EX_mnl(e),Exchange
EX_mobd(e),Exchange
EX_mso3(e),Exchange
EX_n2o(e),Exchange
EX_na1(e),Exchange
EX_nac(e),Exchange
EX_nh4(e),Exchange
EX_ni2(e),Exchange
EX_nmn(e),Exchange
EX_no(e),Exchange
EX_no2(e),Exchange
EX_no3(e),Exchange
EX_novbcn(e),Exchange
EX_o16a4colipa(e),Exchange
EX_o2(e),Exchange
EX_o2s(e),Exchange
EX_ocdca(e),Exchange
EX_ocdcea(e),Exchange
EX_octa(e),Exchange
EX_orn(e),Exchange
EX_orot(e),Exchange
EX_pacald(e),Exchange
EX_peamn(e),Exchange
EX_phe-L(e),Exchange
EX_pheme(e),Exchange
EX_pi(e),Exchange
EX_pnto-R(e),Exchange
EX_ppa(e),Exchange
EX_ppal(e),Exchange
EX_pppn(e),Exchange
EX_ppt(e),Exchange
EX_pro-L(e),Exchange
EX_progly(e),Exchange
EX_psclys(e),Exchange
EX_pser-L(e),Exchange
EX_ptrc(e),Exchange
EX_pydam(e),Exchange
EX_pydx(e),Exchange
EX_pydxn(e),Exchange
EX_pyr(e),Exchange
EX_quin(e),Exchange
EX_r5p(e),Exchange
EX_rfamp(e),Exchange
EX_rib-D(e),Exchange
EX_rmn(e),Exchange
EX_sbt-D(e),Exchange
EX_sel(e),Exchange
EX_ser-D(e),Exchange
EX_ser-L(e),Exchange
EX_skm(e),Exchange
EX_slnt(e),Exchange
EX_so2(e),Exchange
EX_so3(e),Exchange
EX_so4(e),Exchange
EX_spmd(e),Exchange
EX_succ(e),Exchange
EX_sucr(e),Exchange
EX_sulfac(e),Exchange
EX_tartr-D(e),Exchange
EX_tartr-L(e),Exchange
EX_taur(e),Exchange
EX_tcynt(e),Exchange
EX_thm(e),Exchange
EX_thr-L(e),Exchange
EX_thrp(e),Exchange
EX_thym(e),Exchange
EX_thymd(e),Exchange
EX_tma(e),Exchange
EX_tmao(e),Exchange
EX_tre(e),Exchange
EX_trp-L(e),Exchange
EX_tsul(e),Exchange
EX_ttdca(e),Exchange
EX_ttdcea(e),Exchange
EX_ttrcyc(e),Exchange
EX_tungs(e),Exchange
EX_tym(e),Exchange
EX_tyr-L(e),Exchange
EX_tyrp(e),Exchange
EX_uacgam(e),Exchange
EX_udpacgal(e),Exchange
EX_udpg(e),Exchange
EX_udpgal(e),Exchange
EX_udpglcur(e),Exchange
EX_ump(e),Exchange
EX_ura(e),Exchange
EX_urea(e),Exchange
EX_uri(e),Exchange
EX_val-L(e),Exchange
EX_xan(e),Exchange
EX_xmp(e),Exchange
EX_xtsn(e),Exchange
EX_xyl-D(e),Exchange
EX_xylu-L(e),Exchange
EX_zn2(e),Exchange
FOMETRi,Folate Metabolism
FTHFD,Folate Metabolism
FTHFLi,Folate Metabolism
GCALDD,Folate Metabolism
GLYCL,Folate Metabolism
MTHFC,Folate Metabolism
MTHFD,Folate Metabolism
MTHFR2,Folate Metabolism
THFAT,Folate Metabolism
GLUDC,Glutamate Metabolism
GLUDy,Glutamate Metabolism
GLUN,Glutamate Metabolism
GLUNpp,Glutamate Metabolism
GLNS,Glutamate Metabolism
GLUSy,Glutamate Metabolism
2AGPEAT120,Glycerophospholipid Metabolism
2AGPEAT140,Glycerophospholipid Metabolism
2AGPEAT141,Glycerophospholipid Metabolism
2AGPEAT160,Glycerophospholipid Metabolism
2AGPEAT161,Glycerophospholipid Metabolism
2AGPEAT180,Glycerophospholipid Metabolism
2AGPEAT181,Glycerophospholipid Metabolism
2AGPGAT120,Glycerophospholipid Metabolism
2AGPGAT140,Glycerophospholipid Metabolism
2AGPGAT141,Glycerophospholipid Metabolism
2AGPGAT160,Glycerophospholipid Metabolism
2AGPGAT161,Glycerophospholipid Metabolism
2AGPGAT180,Glycerophospholipid Metabolism
2AGPGAT181,Glycerophospholipid Metabolism
ACPPAT120,Glycerophospholipid Metabolism
ACPPAT140,Glycerophospholipid Metabolism
ACPPAT141,Glycerophospholipid Metabolism
ACPPAT160,Glycerophospholipid Metabolism
ACPPAT161,Glycerophospholipid Metabolism
ACPPAT180,Glycerophospholipid Metabolism
ACPPAT181,Glycerophospholipid Metabolism
AGPAT120,Glycerophospholipid Metabolism
AGPAT140,Glycerophospholipid Metabolism
AGPAT141,Glycerophospholipid Metabolism
AGPAT160,Glycerophospholipid Metabolism
AGPAT161,Glycerophospholipid Metabolism
AGPAT180,Glycerophospholipid Metabolism
AGPAT181,Glycerophospholipid Metabolism
ALR4x,Glycerophospholipid Metabolism
APG3PAT120,Glycerophospholipid Metabolism
APG3PAT140,Glycerophospholipid Metabolism
APG3PAT141,Glycerophospholipid Metabolism
APG3PAT160,Glycerophospholipid Metabolism
APG3PAT161,Glycerophospholipid Metabolism
APG3PAT180,Glycerophospholipid Metabolism
APG3PAT181,Glycerophospholipid Metabolism
APH120,Glycerophospholipid Metabolism
APH140,Glycerophospholipid Metabolism
APH141,Glycerophospholipid Metabolism
APH160,Glycerophospholipid Metabolism
APH161,Glycerophospholipid Metabolism
APH180,Glycerophospholipid Metabolism
APH181,Glycerophospholipid Metabolism
CDAPPA120,Glycerophospholipid Metabolism
CDAPPA140,Glycerophospholipid Metabolism
CDAPPA141,Glycerophospholipid Metabolism
CDAPPA160,Glycerophospholipid Metabolism
CDAPPA161,Glycerophospholipid Metabolism
CDAPPA180,Glycerophospholipid Metabolism
CDAPPA181,Glycerophospholipid Metabolism
CFAS160E,Glycerophospholipid Metabolism
CFAS160G,Glycerophospholipid Metabolism
CFAS180E,Glycerophospholipid Metabolism
CFAS180G,Glycerophospholipid Metabolism
CLPNH120pp,Glycerophospholipid Metabolism
CLPNH140pp,Glycerophospholipid Metabolism
CLPNH141pp,Glycerophospholipid Metabolism
CLPNH160pp,Glycerophospholipid Metabolism
CLPNH161pp,Glycerophospholipid Metabolism
CLPNH180pp,Glycerophospholipid Metabolism
CLPNH181pp,Glycerophospholipid Metabolism
CLPNS120pp,Glycerophospholipid Metabolism
CLPNS140pp,Glycerophospholipid Metabolism
CLPNS141pp,Glycerophospholipid Metabolism
CLPNS160pp,Glycerophospholipid Metabolism
CLPNS161pp,Glycerophospholipid Metabolism
CLPNS180pp,Glycerophospholipid Metabolism
CLPNS181pp,Glycerophospholipid Metabolism
DAGK120,Glycerophospholipid Metabolism
DAGK140,Glycerophospholipid Metabolism
DAGK141,Glycerophospholipid Metabolism
DAGK160,Glycerophospholipid Metabolism
DAGK161,Glycerophospholipid Metabolism
DAGK180,Glycerophospholipid Metabolism
DAGK181,Glycerophospholipid Metabolism
DASYN120,Glycerophospholipid Metabolism
DASYN140,Glycerophospholipid Metabolism
DASYN141,Glycerophospholipid Metabolism
DASYN160,Glycerophospholipid Metabolism
DASYN161,Glycerophospholipid Metabolism
DASYN180,Glycerophospholipid Metabolism
DASYN181,Glycerophospholipid Metabolism
G3PAT120,Glycerophospholipid Metabolism
G3PAT140,Glycerophospholipid Metabolism
G3PAT141,Glycerophospholipid Metabolism
G3PAT160,Glycerophospholipid Metabolism
G3PAT161,Glycerophospholipid Metabolism
G3PAT180,Glycerophospholipid Metabolism
G3PAT181,Glycerophospholipid Metabolism
GPDDA1,Glycerophospholipid Metabolism
GPDDA1pp,Glycerophospholipid Metabolism
GPDDA2,Glycerophospholipid Metabolism
GPDDA2pp,Glycerophospholipid Metabolism
GPDDA3,Glycerophospholipid Metabolism
GPDDA3pp,Glycerophospholipid Metabolism
GPDDA4,Glycerophospholipid Metabolism
GPDDA4pp,Glycerophospholipid Metabolism
GPDDA5,Glycerophospholipid Metabolism
GPDDA5pp,Glycerophospholipid Metabolism
LPLIPAL1A120pp,Glycerophospholipid Metabolism
LPLIPAL1A140pp,Glycerophospholipid Metabolism
LPLIPAL1A141pp,Glycerophospholipid Metabolism
LPLIPAL1A160pp,Glycerophospholipid Metabolism
LPLIPAL1A161pp,Glycerophospholipid Metabolism
LPLIPAL1A180pp,Glycerophospholipid Metabolism
LPLIPAL1A181pp,Glycerophospholipid Metabolism
LPLIPAL1E120pp,Glycerophospholipid Metabolism
LPLIPAL1E140pp,Glycerophospholipid Metabolism
LPLIPAL1E141pp,Glycerophospholipid Metabolism
LPLIPAL1E160pp,Glycerophospholipid Metabolism
LPLIPAL1E161pp,Glycerophospholipid Metabolism
LPLIPAL1E180pp,Glycerophospholipid Metabolism
LPLIPAL1E181pp,Glycerophospholipid Metabolism
