Reactions,Subsystems
MNt2pp,Transport Inner Membrane
MSO3abcpp,Transport Inner Membrane
NACtpp,Transport Inner Membrane
NMNPtpp,Transport Inner Membrane
NMNt7pp,Transport Inner Membrane
ORNabcpp,Transport Inner Membrane
OROTt2_2pp,Transport Inner Membrane
PA120abcpp,Transport Inner Membrane
PA140abcpp,Transport Inner Membrane
PA141abcpp,Transport Inner Membrane
PA160abcpp,Transport Inner Membrane
PA161abcpp,Transport Inner Membrane
PA180abcpp,Transport Inner Membrane
PA181abcpp,Transport Inner Membrane
PACALDt2rpp,Transport Inner Membrane
PE120abcpp,Transport Inner Membrane
PE140abcpp,Transport Inner Membrane
PE141abcpp,Transport Inner Membrane
PE160abcpp,Transport Inner Membrane
PE161abcpp,Transport Inner Membrane
PE180abcpp,Transport Inner Membrane
PE181abcpp,Transport Inner Membrane
PG120abcpp,Transport Inner Membrane
PG140abcpp,Transport Inner Membrane
PG141abcpp,Transport Inner Membrane
PG160abcpp,Transport Inner Membrane
PG161abcpp,Transport Inner Membrane
PG180abcpp,Transport Inner Membrane
PG181abcpp,Transport Inner Membrane
PGP120abcpp,Transport Inner Membrane
PGP140abcpp,Transport Inner Membrane
PGP141abcpp,Transport Inner Membrane
PGP160abcpp,Transport Inner Membrane
PGP161abcpp,Transport Inner Membrane
PGP180abcpp,Transport Inner Membrane
PGP181abcpp,Transport Inner Membrane
PHEMEabcpp,Transport Inner Membrane
PHEt2rpp,Transport Inner Membrane
PNTOt4pp,Transport Inner Membrane
PPALtpp,Transport Inner Membrane
PPAt4pp,Transport Inner Membrane
PPPNt2rpp,Transport Inner Membrane
PROabcpp,Transport Inner Membrane
PROGLYabcpp,Transport Inner Membrane
PROt2rpp,Transport Inner Membrane
PROt4pp,Transport Inner Membrane
PSCLYSt2pp,Transport Inner Membrane
PTRCabcpp,Transport Inner Membrane
PTRCORNt7pp,Transport Inner Membrane
PTRCt2pp,Transport Inner Membrane
PYDAMtpp,Transport Inner Membrane
PYDXNtpp,Transport Inner Membrane
PYDXtpp,Transport Inner Membrane
PYRt2rpp,Transport Inner Membrane
QUIN2tpp,Transport Inner Membrane
RIBabcpp,Transport Inner Membrane
RMNtpp,Transport Inner Membrane
SBTptspp,Transport Inner Membrane
SERt2rpp,Transport Inner Membrane
SERt4pp,Transport Inner Membrane
SKMt2pp,Transport Inner Membrane
SPMDabcpp,Transport Inner Membrane
SPMDt3pp,Transport Inner Membrane
SUCASPtpp,Transport Inner Membrane
SUCCt2_2pp,Transport Inner Membrane
SUCCt2_3pp,Transport Inner Membrane
SUCCt3pp,Transport Inner Membrane
SUCFUMtpp,Transport Inner Membrane
SUCMALtpp,Transport Inner Membrane
SUCptspp,Transport Inner Membrane
SUCTARTtpp,Transport Inner Membrane
SULFACabcpp,Transport Inner Membrane
TARTRt7pp,Transport Inner Membrane
TARTt2_3pp,Transport Inner Membrane
TAURabcpp,Transport Inner Membrane
TDSR1,Transport Inner Membrane
TDSR2,Transport Inner Membrane
THMabcpp,Transport Inner Membrane
THMDt2pp,Transport Inner Membrane
THMDt2rpp,Transport Inner Membrane
THRabcpp,Transport Inner Membrane
THRt2pp,Transport Inner Membrane
THRt2rpp,Transport Inner Membrane
THRt4pp,Transport Inner Membrane
THYMt3pp,Transport Inner Membrane
TREptspp,Transport Inner Membrane
TRPt2rpp,Transport Inner Membrane
TYRt2rpp,Transport Inner Membrane
URAt2pp,Transport Inner Membrane
URAt2rpp,Transport Inner Membrane
UREAtpp,Transport Inner Membrane
URIt2pp,Transport Inner Membrane
URIt2rpp,Transport Inner Membrane
VALabcpp,Transport Inner Membrane
VALt2rpp,Transport Inner Membrane
XANt2pp,Transport Inner Membrane
XANtpp,Transport Inner Membrane
XTSNt2rpp,Transport Inner Membrane
XYLabcpp,Transport Inner Membrane
XYLt2pp,Transport Inner Membrane
XYLUt2pp,Transport Inner Membrane
14GLUCANtexi,Transport Outer Membrane
ACNAMtex,Transport Outer Membrane
ADNtex,Transport Outer Membrane
ADOCBLtonex,Transport Outer Membrane
ARBTNtex,Transport Outer Membrane
ARBTNtonex,Transport Outer Membrane
CBItonex,Transport Outer Membrane
CBL1tonex,Transport Outer Membrane
CMtpp,Transport Outer Membrane
CPGNtonex,Transport Outer Membrane
CUt3,Transport Outer Membrane
DADNtex,Transport Outer Membrane
DCYTtex,Transport Outer Membrane
DDCAtexi,Transport Outer Membrane
DOXRBCNtpp,Transport Outer Membrane
DURItex,Transport Outer Membrane
FE3DCITtonex,Transport Outer Membrane
FE3DHBZStonex,Transport Outer Membrane
FE3HOXtonex,Transport Outer Membrane
FECRMtonex,Transport Outer Membrane
FEENTERtonex,Transport Outer Membrane
FEOXAMtonex,Transport Outer Membrane
FUSAtpp,Transport Outer Membrane
GLCtexi,Transport Outer Membrane
GUAtex,Transport Outer Membrane
HDCAtexi,Transport Outer Membrane
HDCEAtexi,Transport Outer Membrane
INStex,Transport Outer Membrane
MALTHXtexi,Transport Outer Membrane
MALTPTtexi,Transport Outer Membrane
MALTtexi,Transport Outer Membrane
MALTTRtexi,Transport Outer Membrane
MALTTTRtexi,Transport Outer Membrane
MINCYCtpp,Transport Outer Membrane
MINOHPtexi,Transport Outer Membrane
NOVBCNtex,Transport Outer Membrane
NOVBCNtpp,Transport Outer Membrane
OCDCAtexi,Transport Outer Membrane
OCDCEAtexi,Transport Outer Membrane
PHEMEtiex,Transport Outer Membrane
RFAMPtex,Transport Outer Membrane
RFAMPtpp,Transport Outer Membrane
TTDCAtexi,Transport Outer Membrane
TTDCEAtexi,Transport Outer Membrane
TTRCYCtpp,Transport Outer Membrane
URItex,Transport Outer Membrane
12PPDRtex,Transport Outer Membrane Porin
12PPDStex,Transport Outer Membrane Porin
23CAMPtex,Transport Outer Membrane Porin
23CCMPtex,Transport Outer Membrane Porin
23CGMPtex,Transport Outer Membrane Porin
23CUMPtex,Transport Outer Membrane Porin
23DAPPAtex,Transport Outer Membrane Porin
26DAHtex,Transport Outer Membrane Porin
34dhpactex,Transport Outer Membrane Porin
3AMPtex,Transport Outer Membrane Porin
3CMPtex,Transport Outer Membrane Porin
3GMPtex,Transport Outer Membrane Porin
3HPPtex,Transport Outer Membrane Porin
3PEPTtex,Transport Outer Membrane Porin
3UMPtex,Transport Outer Membrane Porin
4HOXPACDtex,Transport Outer Membrane Porin
4PEPTtex,Transport Outer Membrane Porin
5DGLCNtex,Transport Outer Membrane Porin
5MTRtex,Transport Outer Membrane Porin
ABUTtex,Transport Outer Membrane Porin
ACACtex,Transport Outer Membrane Porin
ACALDtex,Transport Outer Membrane Porin
ACGAL1Ptex,Transport Outer Membrane Porin
ACGALtex,Transport Outer Membrane Porin
ACGAM1Ptex,Transport Outer Membrane Porin
ACGAtex,Transport Outer Membrane Porin
ACMANAtex,Transport Outer Membrane Porin
ACMUMtex,Transport Outer Membrane Porin
ACSERtex,Transport Outer Membrane Porin
ACtex,Transport Outer Membrane Porin
ADEtex,Transport Outer Membrane Porin
AGMtex,Transport Outer Membrane Porin
AKGtex,Transport Outer Membrane Porin
ALAALAtex,Transport Outer Membrane Porin
ALAtex,Transport Outer Membrane Porin
ALLtex,Transport Outer Membrane Porin
ALLTNtex,Transport Outer Membrane Porin
AMPtex,Transport Outer Membrane Porin
ANHGMtex,Transport Outer Membrane Porin
ARBtex,Transport Outer Membrane Porin
ARBTtex,Transport Outer Membrane Porin
ARGtex,Transport Outer Membrane Porin
ASCBtex,Transport Outer Membrane Porin
ASNtex,Transport Outer Membrane Porin
ASO3tex,Transport Outer Membrane Porin
ASPtex,Transport Outer Membrane Porin
BALAtex,Transport Outer Membrane Porin
BTNtex,Transport Outer Membrane Porin
BUTSO3tex,Transport Outer Membrane Porin
BUTtex,Transport Outer Membrane Porin
CA2tex,Transport Outer Membrane Porin
CD2tex,Transport Outer Membrane Porin
CGLYtex,Transport Outer Membrane Porin
CHLtex,Transport Outer Membrane Porin
CHTBStex,Transport Outer Membrane Porin
CITtex,Transport Outer Membrane Porin
CLtex,Transport Outer Membrane Porin
CMPtex,Transport Outer Membrane Porin
CMtex,Transport Outer Membrane Porin
CO2tex,Transport Outer Membrane Porin
COBALT2tex,Transport Outer Membrane Porin
CRNDtex,Transport Outer Membrane Porin
CRNtex,Transport Outer Membrane Porin
CSNtex,Transport Outer Membrane Porin
CU2tex,Transport Outer Membrane Porin
CUtex,Transport Outer Membrane Porin
CYANtex,Transport Outer Membrane Porin
CYNTtex,Transport Outer Membrane Porin
CYSDtex,Transport Outer Membrane Porin
CYStex,Transport Outer Membrane Porin
CYTDtex,Transport Outer Membrane Porin
D-LACtex,Transport Outer Membrane Porin
DALAtex,Transport Outer Membrane Porin
DAMPtex,Transport Outer Membrane Porin
DAPtex,Transport Outer Membrane Porin
DCAtex,Transport Outer Membrane Porin
DCMPtex,Transport Outer Membrane Porin
DDGLCNtex,Transport Outer Membrane Porin
DGMPtex,Transport Outer Membrane Porin
DGSNtex,Transport Outer Membrane Porin
DHAtex,Transport Outer Membrane Porin
DIMPtex,Transport Outer Membrane Porin
DINStex,Transport Outer Membrane Porin
DMSOtex,Transport Outer Membrane Porin
DMStex,Transport Outer Membrane Porin
DOPAtex,Transport Outer Membrane Porin
DOXRBCNtex,Transport Outer Membrane Porin
DSERtex,Transport Outer Membrane Porin
DTMPtex,Transport Outer Membrane Porin
DUMPtex,Transport Outer Membrane Porin
ETHAtex,Transport Outer Membrane Porin
ETHSO3tex,Transport Outer Membrane Porin
ETOHtex,Transport Outer Membrane Porin
F6Ptex,Transport Outer Membrane Porin
FALDtex,Transport Outer Membrane Porin
FE2tex,Transport Outer Membrane Porin
FE3tex,Transport Outer Membrane Porin
FORtex,Transport Outer Membrane Porin
FRULYStex,Transport Outer Membrane Porin
FRUtex,Transport Outer Membrane Porin
FRUURtex,Transport Outer Membrane Porin
FUCtex,Transport Outer Membrane Porin
FUMtex,Transport Outer Membrane Porin
FUSAtex,Transport Outer Membrane Porin
G1Ptex,Transport Outer Membrane Porin
G3PCtex,Transport Outer Membrane Porin
G3PEtex,Transport Outer Membrane Porin
G3PGtex,Transport Outer Membrane Porin
G3PItex,Transport Outer Membrane Porin
G3PStex,Transport Outer Membrane Porin
G6Ptex,Transport Outer Membrane Porin
GAL1Ptex,Transport Outer Membrane Porin
GALBDtex,Transport Outer Membrane Porin
GALCTNLtex,Transport Outer Membrane Porin
GALCTNtex,Transport Outer Membrane Porin
GALCTtex,Transport Outer Membrane Porin
GALtex,Transport Outer Membrane Porin
GALTtex,Transport Outer Membrane Porin
GALURtex,Transport Outer Membrane Porin
GAMAN6Ptex,Transport Outer Membrane Porin
GAMtex,Transport Outer Membrane Porin
GBBTNtex,Transport Outer Membrane Porin
GDPtex,Transport Outer Membrane Porin
GLCNtex,Transport Outer Membrane Porin
GLCRtex,Transport Outer Membrane Porin
GLCtex,Transport Outer Membrane Porin
GLCUR1Ptex,Transport Outer Membrane Porin
GLCURtex,Transport Outer Membrane Porin
GLNtex,Transport Outer Membrane Porin
GLUtex,Transport Outer Membrane Porin
GLYALDtex,Transport Outer Membrane Porin
GLYBtex,Transport Outer Membrane Porin
GLYC2Ptex,Transport Outer Membrane Porin
GLYC3Ptex,Transport Outer Membrane Porin
GLYCAtex,Transport Outer Membrane Porin
GLYCLTtex,Transport Outer Membrane Porin
GLYCtex,Transport Outer Membrane Porin
GLYtex,Transport Outer Membrane Porin
GMPtex,Transport Outer Membrane Porin
GSNtex,Transport Outer Membrane Porin
GTHOXtex,Transport Outer Membrane Porin
GTHRDtex,Transport Outer Membrane Porin
GTPtex,Transport Outer Membrane Porin
H2O2tex,Transport Outer Membrane Porin
H2Otex,Transport Outer Membrane Porin
H2Stex,Transport Outer Membrane Porin
H2tex,Transport Outer Membrane Porin
HCINNMtex,Transport Outer Membrane Porin
HG2tex,Transport Outer Membrane Porin
HIStex,Transport Outer Membrane Porin
HOMtex,Transport Outer Membrane Porin
HPPPNtex,Transport Outer Membrane Porin
Htex,Transport Outer Membrane Porin
HXAtex,Transport Outer Membrane Porin
HYXNtex,Transport Outer Membrane Porin
IDONtex,Transport Outer Membrane Porin
ILEtex,Transport Outer Membrane Porin
IMPtex,Transport Outer Membrane Porin
INDOLEtex,Transport Outer Membrane Porin
INSTtex,Transport Outer Membrane Porin
ISETACtex,Transport Outer Membrane Porin
Ktex,Transport Outer Membrane Porin
L-LACtex,Transport Outer Membrane Porin
LALADGLUtex,Transport Outer Membrane Porin
LALALGLUtex,Transport Outer Membrane Porin
LCTStex,Transport Outer Membrane Porin
LEUtex,Transport Outer Membrane Porin
LIPOtex,Transport Outer Membrane Porin
LYStex,Transport Outer Membrane Porin
LYXtex,Transport Outer Membrane Porin
MALDtex,Transport Outer Membrane Porin
MALtex,Transport Outer Membrane Porin
MAN6Ptex,Transport Outer Membrane Porin
MANGLYCtex,Transport Outer Membrane Porin
MANtex,Transport Outer Membrane Porin
MELIBtex,Transport Outer Membrane Porin
MEOHtex,Transport Outer Membrane Porin
METDtex,Transport Outer Membrane Porin
METSOX1tex,Transport Outer Membrane Porin
METSOX2tex,Transport Outer Membrane Porin
METtex,Transport Outer Membrane Porin
MG2tex,Transport Outer Membrane Porin
MINCYCtex,Transport Outer Membrane Porin
MMETtex,Transport Outer Membrane Porin
MNLtex,Transport Outer Membrane Porin
MNtex,Transport Outer Membrane Porin
MOBDtex,Transport Outer Membrane Porin
MSO3tex,Transport Outer Membrane Porin
N2Otex,Transport Outer Membrane Porin
NACtex,Transport Outer Membrane Porin
NAtex,Transport Outer Membrane Porin
NH4tex,Transport Outer Membrane Porin
NI2tex,Transport Outer Membrane Porin
NMNtex,Transport Outer Membrane Porin
NO2tex,Transport Outer Membrane Porin
NO3tex,Transport Outer Membrane Porin
NOtex,Transport Outer Membrane Porin
O2Stex,Transport Outer Membrane Porin
O2tex,Transport Outer Membrane Porin
OCTAtex,Transport Outer Membrane Porin
ORNtex,Transport Outer Membrane Porin
OROTtex,Transport Outer Membrane Porin
PACALDtex,Transport Outer Membrane Porin
PEAMNtex,Transport Outer Membrane Porin
PHEtex,Transport Outer Membrane Porin
PItex,Transport Outer Membrane Porin
PNTOtex,Transport Outer Membrane Porin
PPALtex,Transport Outer Membrane Porin
PPAtex,Transport Outer Membrane Porin
PPPNtex,Transport Outer Membrane Porin
PPTtex,Transport Outer Membrane Porin
PROGLYtex,Transport Outer Membrane Porin
PROtex,Transport Outer Membrane Porin
PSCLYStex,Transport Outer Membrane Porin
PSERtex,Transport Outer Membrane Porin
PTRCtex,Transport Outer Membrane Porin
PYDAMtex,Transport Outer Membrane Porin
PYDXNtex,Transport Outer Membrane Porin
PYDXtex,Transport Outer Membrane Porin
PYRtex,Transport Outer Membrane Porin
QUIN2tex,Transport Outer Membrane Porin
R5Ptex,Transport Outer Membrane Porin
RIBtex,Transport Outer Membrane Porin
RMNtex,Transport Outer Membrane Porin
SBTtex,Transport Outer Membrane Porin
SELtex,Transport Outer Membrane Porin
SERtex,Transport Outer Membrane Porin
SKMtex,Transport Outer Membrane Porin
SLNTtex,Transport Outer Membrane Porin
SO2tex,Transport Outer Membrane Porin
SO3tex,Transport Outer Membrane Porin
SO4tex,Transport Outer Membrane Porin
SPMDtex,Transport Outer Membrane Porin
SUCCtex,Transport Outer Membrane Porin
SUCRtex,Transport Outer Membrane Porin
SULFACtex,Transport Outer Membrane Porin
TARTRDtex,Transport Outer Membrane Porin
TARTRtex,Transport Outer Membrane Porin
TAURtex,Transport Outer Membrane Porin
TCYNTtex,Transport Outer Membrane Porin
THMDtex,Transport Outer Membrane Porin
THMtex,Transport Outer Membrane Porin
THRPtex,Transport Outer Membrane Porin
THRtex,Transport Outer Membrane Porin
THYMtex,Transport Outer Membrane Porin
TMAOtex,Transport Outer Membrane Porin
TMAtex,Transport Outer Membrane Porin
TREtex,Transport Outer Membrane Porin
TRPtex,Transport Outer Membrane Porin
TSULtex,Transport Outer Membrane Porin
TTRCYCtex,Transport Outer Membrane Porin
TUNGStex,Transport Outer Membrane Porin
TYMtex,Transport Outer Membrane Porin
TYRPtex,Transport Outer Membrane Porin
TYRtex,Transport Outer Membrane Porin
UACGAMtex,Transport Outer Membrane Porin
UDPACGALtex,Transport Outer Membrane Porin
UDPGALtex,Transport Outer Membrane Porin
UDPGLCURtex,Transport Outer Membrane Porin
UDPGtex,Transport Outer Membrane Porin
UMPtex,Transport Outer Membrane Porin
URAtex,Transport Outer Membrane Porin
UREAtex,Transport Outer Membrane Porin
VALtex,Transport Outer Membrane Porin
XANtex,Transport Outer Membrane Porin
XMPtex,Transport Outer Membrane Porin
XTSNtex,Transport Outer Membrane Porin
XYLtex,Transport Outer Membrane Porin
XYLUtex,Transport Outer Membrane Porin
Zn2tex,Transport Outer Membrane Porin
ALATRS,tRNA Charging
ARGTRS,tRNA Charging
ASNTRS,tRNA Charging
ASPTRS,tRNA Charging
CYSTRS,tRNA Charging
FMETTRS,tRNA Charging
GLNTRS,tRNA Charging
GLYTRS,tRNA Charging
HISTRS,tRNA Charging
ILETRS,tRNA Charging
LEUTRS,tRNA Charging
LYSTRS,tRNA Charging
METTRS,tRNA Charging
PHETRS,tRNA Charging
PROTRS,tRNA Charging
SELCYSS,tRNA Charging
SERTRS,tRNA Charging
SERTRS2,tRNA Charging
THRTRS,tRNA Charging
TRPTRS,tRNA Charging
TYRTRS,tRNA Charging
VALTRS,tRNA Charging
ACANTHAT,Tyrosine Tryptophan and Phenylalanine Metabolism
ANPRT,Tyrosine Tryptophan and Phenylalanine Metabolism
ANS,Tyrosine Tryptophan and Phenylalanine Metabolism
CHORM,Tyrosine Tryptophan and Phenylalanine Metabolism
CHORS,Tyrosine Tryptophan and Phenylalanine Metabolism
DDPA,Tyrosine Tryptophan and Phenylalanine Metabolism
DHQS,Tyrosine Tryptophan and Phenylalanine Metabolism
DHQTi,Tyrosine Tryptophan and Phenylalanine Metabolism
IGPS,Tyrosine Tryptophan and Phenylalanine Metabolism
PHETA1,Tyrosine Tryptophan and Phenylalanine Metabolism
PPND,Tyrosine Tryptophan and Phenylalanine Metabolism
PPNDH,Tyrosine Tryptophan and Phenylalanine Metabolism
PRAIi,Tyrosine Tryptophan and Phenylalanine Metabolism
PSCVT,Tyrosine Tryptophan and Phenylalanine Metabolism
QUINDH,Tyrosine Tryptophan and Phenylalanine Metabolism
SHK3Dr,Tyrosine Tryptophan and Phenylalanine Metabolism
SHKK,Tyrosine Tryptophan and Phenylalanine Metabolism
TRPAS2,Tyrosine Tryptophan and Phenylalanine Metabolism
TRPS1,Tyrosine Tryptophan and Phenylalanine Metabolism
TRPS2,Tyrosine Tryptophan and Phenylalanine Metabolism
TRPS3,Tyrosine Tryptophan and Phenylalanine Metabolism
TYRPpp,Tyrosine Tryptophan and Phenylalanine Metabolism
TYRTA,Tyrosine Tryptophan and Phenylalanine Metabolism
ACONIs,Unassigned
ACONMT,Unassigned
ALPATE160pp,Unassigned
ALPATG160pp,Unassigned
ATPM,Unassigned
BETALDHx,Unassigned
BETALDHy,Unassigned
CAT,Unassigned
CBMKr,Unassigned
CHOLD,Unassigned
CYANST,Unassigned
DSBAO1,Unassigned
DSBAO2,Unassigned
DSBCGT,Unassigned
DSBDR,Unassigned
DSBGGT,Unassigned
FLDR2,Unassigned
GRXR,Unassigned
GTHPi,Unassigned
HCO3E,Unassigned
OXAMTC,Unassigned
PPTHpp,Unassigned
SELNPS,Unassigned
SPODM,Unassigned
SPODMpp,Unassigned
THIORDXi,Unassigned
URIC,Unassigned
ACHBS,Valine Leucine and Isoleucine Metabolism
ACLS,Valine Leucine and Isoleucine Metabolism
DHAD1,Valine Leucine and Isoleucine Metabolism
DHAD2,Valine Leucine and Isoleucine Metabolism
ILETA,Valine Leucine and Isoleucine Metabolism
IPMD,Valine Leucine and Isoleucine Metabolism
IPPMIa,Valine Leucine and Isoleucine Metabolism
IPPMIb,Valine Leucine and Isoleucine Metabolism
IPPS,Valine Leucine and Isoleucine Metabolism
KARA1,Valine Leucine and Isoleucine Metabolism
KARA2,Valine Leucine and Isoleucine Metabolism
LEUTAi,Valine Leucine and Isoleucine Metabolism
OMCDC,Valine Leucine and Isoleucine Metabolism
THRD_L,Valine Leucine and Isoleucine Metabolism
VALTA,Valine Leucine and Isoleucine Metabolism
VPAMTr,Valine Leucine and Isoleucine Metabolism
netFlux,Unassigned